event_time,new_order_ids,completed_ids,locked_ids,pending_count,reoptimized_order_count,frozen_future_order_count,warm_start_count,population_size,max_generations,actual_generations,elapsed_seconds,time_budget_hit,early_stop_triggered,fallback_used,fallback_level,best_fitness,final_A_count,final_B_count,final_C_count,unserved_order_ids
930.4,,,,9,8,1,12,30,60,0,21.380677461624146,True,False,False,none,6227.472948114484,8,1,0,
1140.4,,,,9,8,1,11,30,60,0,17.986268758773804,True,False,False,none,6973.743977415831,9,0,0,
1290.4,,,,9,8,1,11,30,60,0,16.254080772399902,True,False,False,none,6100.068984359921,8,1,0,
1561.4,,,,9,8,1,12,30,60,0,39.73555135726929,True,False,False,none,5653.52734511172,7,2,0,
1560.4,,,,9,8,1,12,30,60,1,48.42655539512634,True,False,False,none,4269.523331382288,5,4,0,
1740.4,,,,9,8,1,12,30,60,0,16.487416982650757,True,False,False,none,5337.804956005162,7,2,0,
1781.4,,,,10,8,2,12,30,60,0,8.284424781799316,True,False,False,none,13952.278382491051,9,0,1,
1838.4,,,,10,8,2,7,30,60,0,7.760288715362549,True,False,False,none,17414.028337724943,9,1,0,
1956.4,,,,10,8,2,11,30,60,0,8.354846954345703,True,False,False,none,25808.17256177159,9,1,0,
1993.4,,,,11,8,3,12,30,60,0,9.106394529342651,True,False,False,none,34304.09866831801,10,1,0,
2048.4,,,,11,8,3,12,30,60,0,10.81168794631958,True,False,False,none,41849.79750119937,10,1,0,
2091.4,,,,12,8,4,10,30,60,0,12.955671548843384,True,False,False,none,51889.643453599696,11,1,0,
2194.4,,,,13,8,5,11,30,60,0,15.216440916061401,True,False,False,none,61938.4472543572,12,1,0,
2232.4,,,,14,8,6,12,30,60,0,10.54172682762146,True,False,False,none,66723.11732873824,12,1,1,
120.4,,,,10,8,2,12,30,60,0,9.42498517036438,True,False,False,none,2882.26790939368,7,3,0,
210.4,,,,11,8,3,12,30,60,0,10.889858722686768,True,False,False,none,8740.247336067347,10,1,0,
450.4,,,,10,8,2,12,30,60,0,15.570286750793457,True,False,False,none,7530.909524170251,9,1,0,
570.4,,,ORD-STATIC-10,9,8,1,9,30,60,0,12.238062143325806,True,False,False,none,7066.334709554644,8,1,0,
870.4,,,,9,8,1,11,30,60,0,10.022040367126465,True,False,False,none,4705.391239955893,3,6,0,
930.4,,,,10,8,2,12,30,60,0,12.080861806869507,True,False,False,none,3469.478186397231,4,6,0,
1140.4,,,,9,8,1,12,30,60,0,13.604124069213867,True,False,False,none,5671.7668912698755,8,1,0,
1290.4,,,,10,8,2,12,30,60,0,16.676803588867188,True,False,False,none,3676.9738809806695,4,6,0,
1560.4,,,,9,8,1,12,30,60,0,18.578001976013184,True,False,False,none,5979.660963023163,8,1,0,
1740.4,,,,9,8,1,12,30,60,0,18.32243585586548,True,False,False,none,2909.160639661724,1,8,0,
1781.4,,,,10,8,2,12,30,60,0,19.910696983337402,True,False,False,none,15495.825848648929,9,1,0,
1838.4,,,,10,8,2,12,30,60,0,20.315009593963623,True,False,False,none,19314.520998458873,9,1,0,
1956.4,,,,11,8,3,12,30,60,0,14.323060035705566,True,False,False,none,29839.328839254384,10,1,0,
